26-02-27 01:08:00.122 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http) 
26-02-27 01:08:00.143 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"] 
26-02-27 01:08:00.146 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
26-02-27 01:08:00.146 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79] 
26-02-27 01:08:00.299 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
26-02-27 01:08:00.299 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1745 ms 
26-02-27 01:08:00.828 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.16+8-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='adityamalhotra911_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@62c72501]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.wt1vqbf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-d6ffx4-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
26-02-27 01:08:00.841 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-02-27 01:08:00.875 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-02-27 01:08:00.876 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-srv-cluster0.wt1vqbf.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 to client view of cluster 
26-02-27 01:08:01.289 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@413d2cd1 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-02-27 01:08:01.637 [cluster-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:124520}] to ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.637 [cluster-rtt-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:143094}] to ac-iz6ygly-shard-00-01.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.637 [cluster-rtt-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:124520}] to ac-iz6ygly-shard-00-00.wt1vqbf.mongodb.net:27017 
26-02-27 01:08:01.637 [cluster-rtt-ClusterId{value='69a0a118bcc39b1e38713efa', description='null'}-ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:119921}] to ac-iz6ygly-shard-00-02.wt1vqbf.mongodb.net:27017 
