26-03-01 10:25:43.891 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests], using SpringBootContextLoader 
26-03-01 10:25:43.913 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
26-03-01 10:25:43.915 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.repository.UserRepositoryImplTests]: UserRepositoryImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
26-03-01 10:25:44.170 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.repository.UserRepositoryImplTests 
26-03-01 10:25:44.430 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
26-03-01 10:25:44.470 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@19fb8826, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@192d74fb, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4bef0fe3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@62ea3440, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@27953a83, org.springframework.test.context.support.DirtiesContextTestExecutionListener@556d0826, org.springframework.test.context.transaction.TransactionalTestExecutionListener@66ce957f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@55b5f5d2, org.springframework.test.context.event.EventPublishingTestExecutionListener@5bfa8cc5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@666b83a4, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@749c877b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@efde75f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@16ecee1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3b220bcb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2b95e48b] 
26-03-01 10:25:45.279 [main] INFO  n.e.j.r.UserRepositoryImplTests - Starting UserRepositoryImplTests using Java 17.0.16 on DESKTOP-19CC2O2 with PID 16952 (started by Aditya Malhotra in C:\Users\Aditya Malhotra\IdeaProjects\journalApp) 
26-03-01 10:25:45.280 [main] DEBUG n.e.j.r.UserRepositoryImplTests - Running with Spring Boot v2.7.15, Spring v5.3.29 
26-03-01 10:25:45.281 [main] INFO  n.e.j.r.UserRepositoryImplTests - The following 1 profile is active: "prod" 
26-03-01 10:25:46.244 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-03-01 10:25:46.336 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 82 ms. Found 2 MongoDB repository interfaces. 
26-03-01 10:25:48.201 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/17.0.16+8-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='adityamalhotra911_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@6393bf8b]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.wt1vqbf.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-d6ffx4-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
